PMID	Title	State	Has_Explicit_US	Has_Indicators	Affiliation
23147783	Transfemoral transarterial onyx embolization of carotid body paragangliomas:  technical consideratio...	Arizona	True	True	Division of Neurological Surgery, Barrow Neurological Institute, St. Joseph's Hospital and Medical Center, Phoenix, Arizona 85013, USA.
23147787	Basilar tip aneurysms:  a microsurgical and endovascular contemporary series of 100 patients.	Washington	True	True	Department of Neurosurgery, University of Washington, Seattle, Washington, USA. lsekhar@u.washington.edu
23147791	Chronic lymphocytic leukemia: a tale of one or two signals?	New York	True	False	Karches Center for Chronic Lymphocytic Leukemia Research, The Feinstein Institute for Medical Research, Hofstra North Shore-LIJ School of Medicine, 350 Community Drive, Manhasset, NY 10030, USA. nchiz...
23147792	Overcoming the chromatin barrier to end resection.	New York	True	False	Department of Microbiology & Immunology, Columbia University Medical Center, New York, NY 10032, USA.
23147794	Defective FGF signaling causes coloboma formation and disrupts retinal neurogenesis.	Kansas	True	False	Stowers Institute for Medical Research, 1000 East 50th Street, Kansas City, MO 64110, USA. sch@stowers.org
23147798	Non-coding transcription SETs up regulation.	Kansas	True	False	Stowers Institute for Medical Research, 1000 E. 50th Street, Kansas City, MO 64110, USA.
23147804	Time-frequency analysis of transient-evoked otoacoustic emissions in children exposed to carboplatin...	Tennessee	True	False	Hearing Science Laboratory, School of Communication Sciences and Disorders, The University of Memphis, and St. Jude Children's Research Hospital, Memphis, TN 38105, USA. sbhagat@memphis.edu
23147808	Preventing, assessing, and managing constipation in older adults.	Indiana	True	False	Rochester General Hospital in Rochester, NY, USA.
23147817	Analysis of chloroquine and metabolites directly from whole-body animal tissue sections by liquid ex...	Tennessee	True	False	Organic and Biological Mass Spectrometry Group, Chemical Sciences Division, Oak Ridge National Laboratory, Oak Ridge, TN, USA.
23147819	Modeling bacteriophage amplification as a predictive tool for optimized MALDI-TOF MS-based bacterial...	Colorado	True	False	Colorado School of Mines, Department of Chemistry and Geochemistry, Golden, CO 80401, USA.
23147820	Electron transfer dissociation versus collisionally activated dissociation of cationized biodegradab...	Pennsylvania	True	False	PPG Industries, 4325 Rosanna Drive, Allison Park, PA 15101, USA.
23147823	Study of the efficiency for ion transfer through bent capillaries.	Indiana	True	False	Weldon School of Biomedical Engineering, Purdue University, West Lafayette, IN 47907, USA.
23147824	Direct imaging of single cells and tissue at sub-cellular spatial resolution using transmission geom...	Tennessee	True	False	National Research Resource for Imaging Mass Spectrometry and Mass Spectrometry Research Center, Vanderbilt University, Nashville, TN 7232-8575, USA.
23147829	Comprehensive characterization of Annonaceous acetogenins within a complex extract by HPLC-ESI-LTQ-O...	Delaware	False	False	Laboratoire de Pharmacognosie, CNRS UMR 8076 BioCIS, Labex LERMIT, Faculté de Pharmacie, Université Paris-Sud, Châtenay-Malabry, France.
23147834	Ciliary neurotrophic factor (CNTF) promotes skeletal muscle progenitor cell (MPC) viability via the ...	Indiana	True	False	Department of Otolaryngology-Head and Neck Surgery, Indiana University School of Medicine, Indianapolis, IN, USA.
23147837	Experimental exposure of eggs to polybrominated diphenyl ethers BDE-47 and BDE-99 in red-eared slide...	Maryland	True	False	University of Maryland Center for Environmental Science, Chesapeake Biological Laboratory, Solomons, Maryland, USA.
23147838	A chemically-defined screening platform reveals behavioral similarities between primary human mesenc...	Wisconsin	True	False	Department of Biomedical Engineering, University of Wisconsin-Madison, 1550 Engineering Dr., Madison, WI 53706, USA.
23147864	Lewis acid-catalyzed oxidation of benzylamines to benzamides.	Delaware	False	False	Leibniz-Institut für Katalyse e.V. an der Universität Rostock, Albert-Einstein-Strasse 29a, 18059 Rostock, Germany. xiao-feng.wu@catalysis.de
23147870	Plasma cysteine/cystine reduction potential correlates with plasma creatinine levels in chronic kidn...	Delaware	False	False	Departamento de Patologia Básica, Universidade Federal do Paraná, Centro Politécnico, Curitiba, Brazil.
23147890	Physical activity levels in the treatment of juvenile fibromyalgia.	Pennsylvania	True	True	Division of Rheumatology, University of Pennsylvania School of Medicine, The Children's Hospital of Philadelphia, 10th Floor Colket, 34th and Civic Center Boulevard, Philadelphia, PA 19104, USA. sherr...
23147891	Osteoarthritis of the spine: the facet joints.	Nebraska	True	True	Department of Rehabilitation Medicine, University of Washington Medical Center, Box 354740, 4245 Roosevelt Way NE, Seattle, WA 98105, USA.
23147896	Duality of fibroblast-like synoviocytes in RA: passive responders and imprinted aggressors.	California	True	False	Division of Cellular Biology, La Jolla Institute of Allergy and Immunology, 9420 Athena Circle, La Jolla, CA 92037, USA.
23147899	Systemic sclerosis--challenges for clinical practice.	Maryland	True	False	Division of Rheumatology, John Hopkins Bayview, 5501 Hopkins Bayview Circle, Baltimore, MD 21224, USA.
23147906	Plant-based modulation of Toll-like receptors: an emerging therapeutic model.	California	True	False	Department of Dermatology, University of California-Davis, Sacramento, CA, USA.
23147909	In vitro localization of human neural stem cell neurogenesis by engineered FGF-2 gradients.	Wisconsin	True	False	Stem Cell and Regenerative Medicine Center, University of Wisconsin, 1111 Highland Ave., Madison, WI 53705, USA. tkeenan@wisc.edu
23147910	Travel and transplantation:  travel-related diseases in transplant recipients.	Massachusetts	True	True	Transplant Infectious Disease and Compromised Host Program, Massachusetts General Hospital, Boston, Massachusetts 02114, USA. ckotton@partners.org
23147915	Comparison of drug concentrations measured in roadside surveys and in seriously injured drivers in B...	Delaware	False	False	Department of Clinical Chemistry, Microbiology and Immunology, Ghent University, De Pintelaan 185, 9000, Ghent, Belgium. trudyvdlinden@gmail.com
23147918	Toward detection of DNA-bound proteins using solid-state nanopores: insights from computer simulatio...	Illinois	True	False	Department of Physics and Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.
23147945	[Socioeconomic and demographic indicators associated with functional disability in the elderly].	Delaware	False	False	Instituto de Geriatria e Gerontologia, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brasil. gustavojaguarao@hotmail.com
23147946	Prevention of cervical cancer in women with ASCUS in the Brazilian Unified National Health System: c...	Delaware	False	False	Instituto de Pesquisa em Oncologia, Universidade Federal do Triângulo Mineiro, Uberaba, Brasil. rosekeila@terra.com.br
23147944	[The morality of nanotechnology].	Delaware	False	False	Programa de Pós-graduaçãoem Bioética, Universidade de Brasília, Brasília, Brasil. pyrrho.monique@gmail.com
23147948	[The metrology of uncertainty: a study of vital statistics from Chile and Brazil].	Delaware	False	False	Escuela de Salud Pública, Universidad de Chile, Santiago, Chile. ycarvajal@med.uchile.cl
23147947	Waist circumference and waist circumference to height ratios of Kaingáng indigenous adolescents from...	Delaware	False	False	Faculdade de Enfermagem, Universidade Federal de Minas Gerais, Belo Horizonte, Brasil. tgontijo108@gmail.com
23147949	[Family Health Support Centers: challenges and opportunities from the perspective of primary care pr...	Delaware	False	False	Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brasil. andreatenorio@usp.br
23147950	[Hemoglobin level in older adults and the association with nutritional status and use of health serv...	Delaware	False	False	Núcleo de Estudosem Saúde Pública e Envelhecimento, Fundação Oswaldo Cruz/Universidade Federal de Minas Gerais, Belo Horizonte, Brasil. claricelas@cpqrr.fiocruz.br
23147953	[Voice disorders related to job stress in teaching: a case-control study].	Delaware	False	False	Faculdade de Saúde Pública, Universidade de São Paulo, São Paulo, Brasil. ppgiannini@uol.com.br
23147952	[Prenatal care in public and private health services: a population-based survey in Rio Grande, Rio G...	Delaware	False	False	Divisão de População & Saúde, Universidade Federal do Rio Grande, Rio Grande, Brasil. juraci.cesar@gmail.com
23147951	[Uses and influence of health evaluation in two studies on the Brazilian National Dengue Fever Contr...	Delaware	False	False	Instituto de Medicina Integral Prof. Fernando Figueira, Recife, Brasil. anaclaudiafigueiro@gmail.com
23147954	Cancer incidence in the Western Amazon: population-based estimates in Rio Branco, Acre State, Brazil...	Delaware	False	False	Centro de Alta Complexidade em Oncologia, Universidade de Brasília, Brasília, Brasil. julianonakashima@gmail.com
23147955	Men's health: a population-based study on social inequalities.	Delaware	False	False	Faculdade de Ciências Médicas, Universidade Estadual de Campinas, Campinas, Brasil. tassiafraga@yahoo.com.br
23147957	[Sedentary leisure time and food consumption among Brazilian adolescents: the Brazilian National Sch...	Delaware	False	False	Faculdade de Medicina, Universidade Federal de Minas Gerais, Belo Horizonte, Brasil. lidyanecamelo@gmail.com
23147958	[Differences in risk factors for infant mortality in five Brazilian cities: a case-control study bas...	Delaware	False	False	Centro de Pesquisas Aggeu Magalhães, Fundação Oswaldo Cruz, Recife, Brasil. livia_tsouza@yahoo.com.br
23147956	[Integrative and complementary health practices: the supply and production of care in the Unified Na...	Delaware	False	False	Centro de Pesquisas Aggeu Magalhães, Fundação Oswaldo Cruz, Recife, Brasil. islandia@cpqam.fiocruz.br
23147960	Temporal analysis of the relationship between dengue and meteorological variables in the city of Rio...	Delaware	False	False	Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz, Riode Janeiro, Brasil. afagundesgomes@gmail.com
23147961	[Translation and cross-cultural adaptation of the Brazilian version of the Hospital Survey on Patien...	Delaware	False	False	Secretaria Municipalde Saúde de Cataguases, Cataguases, Brasil. clautartaglia@gmail.com
23147962	Changes in cigarette consumption patterns among Brazilian smokers between 1989 and 2008.	Delaware	False	False	Divisão de Epidemiologia, Instituto Nacional de Câncer, Rio de Janeiro, Brasil. andreszk@hotmail.com
23147965	The use of intravenous palivizumab for treatment of persistent RSV infection in children with leukem...	New York	True	False	Albany Medical Center, Albany, NY 12208, USA. santosr@mail.amc.edu
23147967	Self-Report of Child Care Directors Regarding Return-to-Care.	Michigan	True	False	Department of Emergency Medicine, University of Michigan Medical School, Ann Arbor, MI 48105, USA. drewhash@umich.edu
23147970	Informed choice for newborn blood spot screening in the United Kingdom: a survey of parental percept...	California	False	False	Department of Epidemiology and Community Medicine, University of Ottawa, Ottawa, Canada. snicholl@uottawa.ca
23147973	Home safety and low-income urban housing quality.	Maryland	True	True	Johns Hopkins Center for Injury Research and Policy, Baltimore, MD 21205, USA. agielen@jhsph.edu
23147972	Parents smoking in their cars with children present.	Massachusetts	True	True	Center for Child and Adolescent Health Research and Policy, Massachusetts General Hospital for Children, Boston, MA 02114, USA.
23147974	Management of neonates with hyperbilirubinemia: improving timeliness of care using a clinical pathwa...	Michigan	True	False	Department of Emergency Medicine, University of Michigan, Ann Arbor, MI 48109, USA. wolffm@med.umich.edu
23147975	Obesity disparities among elementary-aged children: data from school-based BMI surveillance.	Pennsylvania	True	False	Department of Public Health Sciences, College of Medicine, Pennsylvania State University, Hershey, PA, USA. ldbaileydavis@geisinger.edu
23147976	Successful tocilizumab treatment in a child with refractory Takayasu arteritis.	Delaware	False	False	Pediatric Rheumatology Unit, Radiology Department, Hospital Universitario Virgen de las Nieves, Granada, Spain. beatrizbravo.m@gmail.com
23147977	Expected body weight in adolescents: comparison between weight-for-stature and BMI methods.	California	True	True	Department of Pediatrics, Division of Adolescent Medicine, Stanford University School of Medicine, Stanford, CA 94304, USA. ngolden@stanford.edu
23147978	A randomized placebo-controlled trial of massage therapy on the immune system of preterm infants.	Michigan	True	True	Division of Infectious Diseases, Carman and Ann Adams Department of Pediatrics, Children's Hospital of Michigan, Detroit, MI 48201, USA. jang@med.wayne.edu
23147981	Pediatric providers' self-reported knowledge, practices, and attitudes about concussion.	Pennsylvania	True	True	Center for Injury Research and Prevention, The Children's Hospital of Philadelphia, Philadelphia, PA 19104, USA. zonfrillo@email.chop.edu
23147982	Effectiveness of protective eyewear in reducing eye injuries among high school field hockey players.	Rhode Island	False	False	Division of Sports Medicine, Department of Orthopedics, Warren Alpert Medical School, Brown University, Injury Prevention Center, Rhode Island Hospital/Hasbro Children’s Hospital, Providence, RI. pete...
23147985	Nebulized arformoterol: what is its place in the management of COPD?	North Carolina	True	False	Division of Pulmonary, Critical Care, Allergy, and Immunologic Disease, Department of Internal Medicine, Wake Forest School of Medicine, Winston Salem, NC 27157, USA.
23147986	Transplanting the adolescent cystic fibrosis patient: can we do it?	Pennsylvania	True	True	Division of Pulmonary Medicine, The Children's Hospital of Philadelphia, Philadelphia, PA 19104, USA.
23147988	What do French patients and geneticists think about prenatal and preimplantation diagnoses in Marfan...	Delaware	False	False	Centre de Génétique et Centre de Référence Anomalies du Développement et Syndromes Malformatifs, Hôpital d'Enfants, CHU Dijon et Université de Bourgogne, Dijon, France.
23147989	Ruthenium-catalyzed reductive coupling of 1,3-enynes and aldehydes by transfer hydrogenation: anti-d...	Texas	True	False	Department of Chemistry & Biochemistry, The University of Texas at Austin, 78712-1167, USA.
23147987	Effects-based marine ecological risk assessment at a polychlorinated biphenyl-contaminated site in S...	California	False	False	Environmental Sciences Group, Royal Military College of Canada, Kingston, Ontario, Canada. tanya.brown@dfo-mpo.gc.ca
23147990	High-throughput identification of putative receptors for cancer-binding peptides using biopanning an...	Missouri	True	False	Department of Radiation Oncology, Mallinckrodt Institute of Radiology, and Siteman Cancer Center, Washington University School of Medicine, 4511 Forest Park, Saint Louis, MO 63110, USA.
23147993	A novel HLA-A*0201 restricted peptide derived from cathepsin G is an effective immunotherapeutic tar...	Maryland	True	False	Stem Cell Transplantation and Cellular Therapy, Surgical Oncology, and Melanoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.
23147994	Endoglin (CD105) contributes to platinum resistance and is a target for tumor-specific therapy in ep...	Alabama	True	False	Departments of Obstetrics and Gynecology, Radiation Oncology, and Pathology, University of Alabama at Birmingham, Birmingham, AL 35249, USA.
23147995	miRNA-34b inhibits prostate cancer through demethylation, active chromatin modifications, and AKT pa...	California	True	True	Department of Urology, VA Medical Center and UCSF, San Francisco, CA 94121, USA.
23148000	Physical fitness during medical school: a 4-year study at the Uniformed Services University.	Maryland	True	False	Department of Family Medicine, Uniformed Services University, Bethesda, MD, USA. mstephens@usuhs.mil
23147999	CAFM Educational Research Alliance (CERA) 2011 Residency Director survey: background, methods, and r...	South Carolina	True	False	Department of Family Medicine, Medical University of South Carolina, Charleston, SC 29425, USA. mainouag@musc.edu
23148002	Mental health treatment by family physicians: current practices and preferences.	Florida	True	False	University of South Florida/Morton Plant Mease Family Medicine Residency Program, Clearwater, FL 33755, USA. oliver.oyama@baycare.org
23148001	Can we effectively use the two-item PHQ-2 to screen for postpartum depression?	New Jersey	True	False	JFK Family Medicine Residency Program, Edison, NJ 08818, USA. schae@jfkhealth.org
23148016	A dimensional approach to measuring anxiety for DSM-5.	California	True	True	Department of Psychology, University of California, Los Angeles, CA 90095-1563, USA. rlebeau@ucla.edu
23148005	Assessing oral health curriculum in US family medicine residency programs: a CERA study.	Massachusetts	True	False	Department of Family Medicine and Community Health, University of Massachusetts Medical School, MA, USA. hugh.silk@umassmed.edu
23148019	Discovery of a novel aggregation domain in the huntingtin protein: implications for the mechanisms o...	Delaware	False	False	Laboratory of Molecular and Chemical Biology of Neurodegeneration, Brain Mind Institute, Ecole Polytechnique Fédérale de Lausanne, Switzerland.
23148004	Shots by STFM: value of immunization software to family medicine residency directors: a CERA study.	Pennsylvania	True	False	Department of Family Medicine, University of Pittsburgh, Pittsburgh, PA 15261, USA.
23148006	An ounce of prevention: how are we managing the early assessment of residents' clinical skills?: A C...	Massachusetts	True	False	Department of Family Medicine and Community Health, University of Massachusetts, MA, USA. tracy.kedian@umassmed.edu
23148034	In vivo validation of 4D flow MRI for assessing the hemodynamics of portal hypertension.	Wisconsin	True	False	Department of Radiology, University of Wisconsin, Madison, WI 53705, USA. roldan@wisc.edu
23148026	Diagnostic validity across racial and ethnic groups in the assessment of adolescent DSM-IV disorders...	Massachusetts	True	True	School of Education, Boston University, Boston, MA, USA.
23148037	Investigating the relative importance of individual differences on the work-family interface and the...	Florida	True	True	Department of Psychology, Florida International University, Miami, FL, USA. jmichel@fiu.edu
23148043	Energy transport in a one-dimensional harmonic ternary chain with Ornstein-Uhlenbeck disorder.	Alabama	False	False	Instituto de Física, Universidade Federal de Alagoas, Maceió, AL 57072-970, Brazil.
23148047	Pressure-induced superconductivity in Ba0.5Sr0.5Fe2As2.	Alabama	True	False	Department of Physics, University of Alabama at Birmingham, Birmingham, AL 35294, USA.
23148049	Tunneling through superlattices: the effect of anisotropy and kinematic coupling.	Massachusetts	True	False	Mears Technologies, 189 Wells Avenue, Newton, MA 02459, USA. sam_halilov@yahoo.com
23148045	Anti-proliferative effects of physiological concentrations of enterolactone in models of prostate tu...	Colorado	False	False	Food Nutrition & Health, Food and Bio-based Products, AgResearch Grasslands Research Centre, Palmerston North, New Zealand. mark.mccann@agresearch.co.nz
23148010	Working part time in academic family medicine.	Wisconsin	True	False	Department of Family Medicine, University of Wisconsin, Madison, WI 53715, USA. sbschrag@wisc.edu
23148003	Graduate medical education and primary care workforce: a CERA study.	South Carolina	True	False	Department of Family Medicine, Medical University of South Carolina, Charleston, SC 29406, USA. carekpj@musc.edu
23148052	Wait times in the emergency department for patients with mental illness.	California	False	False	Clinical Evaluative Sciences, Toronto, Ont. clare.atzema@ices.on.ca
23148051	Short TE (7) Li-MRS confirms Bi-exponential lithium T2 relaxation in humans and clearly delineates t...	Minnesota	True	True	Department of Radiology, Mayo Clinic, Rochester, Minnesota 55905, USA. port.john@mayo.edu
23148007	Exploratory analysis of patients' motivations to quit smoking and participate in smoking cessation c...	Texas	True	False	Wichita Falls Family Practice Residency Program, Wichita Falls, TX 76301, USA. david.carlston@mwsu.edu
23148011	Health care economics, the PCMH, and education for the future: the importance of prospective care co...	Illinois	True	False	Department of Family and Community Medicine, Southern Illinois University, Springfield, IL 62794, USA. jkruse@siumed.edu
23148060	Corticosteroid therapy in acute respiratory distress syndrome.	California	False	False	Centre de Recherche Clinique Étienne-Le Bel and Department of Internal Medicine, University of Sherbrooke, Sherbrooke, Quebec. francois.lamontagne@usherbrooke.ca
23148008	RAFT (Resident Assessment Facilitation Team): supporting resident well-being through an integrated a...	Illinois	True	True	College of Communication, DePaul University, Chicago, IL 60604, USA. commscholar@hotmail.com
23148063	Neutron-diffraction evidence for the ferrimagnetic ground state of a molecule-based magnet with weak...	Tennessee	True	False	Materials Science and Technology Division, Oak Ridge National Laboratory, Oak Ridge, TN 37831-6071, USA. fishmanrs@ornl.gov
23148064	Comet: an open-source MS/MS sequence database search tool.	Washington	True	True	Department of Genome Sciences, University of Washington, Seattle, WA 98195-8050, USA. engj@u.washington.edu
23148074	The North American view: the perspective of the American Association for Thoracic Surgeons.	New York	True	False	Columbia University Medical Center, New York, NY, USA. crs2@columbia.edu
23148076	The future of cardiothoracic surgery: a view from North America.	Washington	True	True	Division of Cardiothoracic Surgery, Department of Surgery, University of Washington, Seattle, WA, USA. dewood@u.washington.edu
23148078	Differential mobility of pigment-protein complexes in granal and agranal thylakoid membranes of C₃ a...	Washington	True	False	Institute of Biological Chemistry , Washington State University, Pullman, Washington 99164, USA. kirchhh@wsu.edu
23148084	Cognitive function after transapical aortic valve implantation: a single-centre study with 3-month f...	Delaware	False	False	Department of Thoracic and Cardiovascular Surgery, West German Heart Center Essen, Essen, Germany. stephan.knipp@uk-essen.de
23148085	Sex selection of sperm in farm animals: status report and developmental prospects.	Delaware	False	False	Institute of Farm Animal Genetics, Friedrich-Loeffler-Institut, Hoeltystrasse 10, 31535 Neustadt-Mariensee, Germany. rath@tzv.fal.de
23148086	Anastrozole and celecoxib for endometriosis treatment, good to keep them apart?	Arkansas	False	False	Instituto de Biología y Medicina Experimental (IBYME), CONICET, C1428ADN, Ciudad Autónoma de Buenos Aires, Vuelta de Obligado 2490, Buenos Aires, Argentina. carla.olivares@ibyme.conicet.gov.ar
23148087	Tumour necrosis factor-α is the signal induced by mating to shutdown a 2-methoxyestradiol nongenomic...	Delaware	False	False	Laboratorio de Inmunología de la Reproducción, Facultad de Química y Biología, Universidad de Santiago de Chile, Alameda 3363, Casilla 40, Correo 33, Santiago, Chile.
23148092	Survival of lupus patients on dialysis: a Brazilian cohort.	Delaware	False	False	Division of Rheumatology, Department of Medicine, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, RJ, Brazil.
23148093	The association of a La module with the PABP-interacting motif PAM2 is a recurrent evolutionary proc...	Delaware	False	False	Université de Perpignan Via Domitia, UMR5096 LGDP, 66860 Perpignan Cedex, France.
23148095	Modestobacter roseus sp. nov., an endophytic actinomycete isolated from the coastal halophyte Salico...	Indiana	False	False	Key Laboratory of Biogeography and Bioresource in Arid Land, Chinese Academy of Science, Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences, Ürűmqi 830011, PR China.
23148095	Modestobacter roseus sp. nov., an endophytic actinomycete isolated from the coastal halophyte Salico...	Indiana	False	False	The Key Laboratory of Microbial Diversity in Southwest China, Ministry of Education and Laboratory for Conservation and Utilization of Bio-Resources, Yunnan Institute of Microbiology, Yunnan Universit...
23148097	Aspergillus waksmanii sp. nov. and Aspergillus marvanovae sp. nov., two closely related species in s...	Indiana	False	False	Department of Botany, Faculty of Science, Charles University in Prague, Benátská 2, 128 01 Praha 2, Czech Republic.
23148097	Aspergillus waksmanii sp. nov. and Aspergillus marvanovae sp. nov., two closely related species in s...	Illinois	True	False	Bacterial Foodborne Pathogens and Mycology Research Unit, National Center for Agricultural Utilization Research, 1815 N. University Street, Peoria, IL 61604, USA.
23148097	Aspergillus waksmanii sp. nov. and Aspergillus marvanovae sp. nov., two closely related species in s...	Indiana	False	False	Department of Botany, Faculty of Science, Charles University in Prague, Benátská 2, 128 01 Praha 2, Czech Republic.
23148097	Aspergillus waksmanii sp. nov. and Aspergillus marvanovae sp. nov., two closely related species in s...	Indiana	False	False	Department of Botany, Faculty of Science, Charles University in Prague, Benátská 2, 128 01 Praha 2, Czech Republic.
23148108	Demographic and health surveys: a profile.	Massachusetts	True	True	Harvard Center for Population and Development Studies, Harvard University, Boston, MA 02115, USA.
23148107	Correction for population stratification in random forest analysis.	Massachusetts	True	True	Environmental and Occupational Medicine and Epidemiology Program, Department of Environmental Health, Harvard School of Public Health, Harvard University, Boston, MA, USA.
23148106	Body mass index in relation to oesophageal and oesophagogastric junction adenocarcinomas: a pooled a...	North Carolina	True	False	Department of Obstetrics and Gynecology, Duke University School of Medicine, Durham, NC 27710, USA. cathrine.hoyo@duke.edu
23148110	Assessment of knowledge and attitudes regarding automated external defibrillators and cardiopulmonar...	Illinois	True	False	Department of Industrial Engineering and Management Sciences, Evanston, Illinois 60201, USA. brittanybogle@u.northwestern.edu
23148112	Stress distribution and displacement by different bone-borne palatal expanders with micro-implants: ...	Missouri	True	False	Department of Orthodontics, Center for Advanced Dental Education, Saint Louis University, MO, USA.
23148118	Areas with complex fractionated atrial electrograms recorded after pulmonary vein isolation represen...	New York	True	False	Helmsley Electrophysiology Center, Mount Sinai Heart,  Mount Sinai School of Medicine, One Gustave L. Levy Place, Box 1030, New York City, NY 10029,  USA.
23148119	Diagnostic yield of FDG positron-emission tomography/computed tomography in patients with CEID infec...	Louisiana	False	False	Department of Cardiology,  La Timone Hospital, CHU La Timone, 264, Rue Saint Pierre, 13005 Marseille,  France.
23148126	Z-Group ketone chain transfer agents for RAFT polymer nanoparticle modification via hydrazone conjug...	Ohio	False	False	Department of Chemistry, 100 W. 18th Avenue, The Ohio State University, Columbus, Ohio 43210.
23148127	How Bacteria Adhere to Brushy PEG Surfaces: Clinging to Flaws and Compressing the Brush.	Massachusetts	False	False	Department of Chemical Engineering, Univeristy of Massachusetts Amherst, MA 01003.
23148129	Temporal Differences in Remarriage Timing: Comparing Divorce and Widowhood.	Pennsylvania	True	False	Department of Sociology and Crime, Law and Justice, Pennsylvania State University, University Park, Pennsylvania, USA.
