PMID	Title	Affiliation
23148098	Flavobacterium squillarum sp. nov., isolated from a freshwater shrimp culture pond, and emended desc...	Department of Marine Biotechnology, National Kaohsiung Marine University, No. 142, Hai-Chuan Rd Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.
23148098	Flavobacterium squillarum sp. nov., isolated from a freshwater shrimp culture pond, and emended desc...	Laboratory of Microbiology, Department of Seafood Science, National Kaohsiung Marine University, No. 142, Hai-Chuan Rd Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.
23148098	Flavobacterium squillarum sp. nov., isolated from a freshwater shrimp culture pond, and emended desc...	Laboratory of Microbiology, Department of Seafood Science, National Kaohsiung Marine University, No. 142, Hai-Chuan Rd Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.
23148111	A child with severe stridor.	Division of Pediatric Emergency, Department of Emergency, Kaohsiung Medical University Hospital, Kaohsiung Medical University, Kaohsiung, Taiwan. taihen@kmu.edu.tw
23148114	Influence of sucking habits and breathing pattern on palatal constriction in unilateral posterior cr...	Department of Dental and Jaw Orthopaedics, Medical faculty, University of Ljubljana, Slovenia.
23148126	Z-Group ketone chain transfer agents for RAFT polymer nanoparticle modification via hydrazone conjug...	Department of Chemistry, 100 W. 18th Avenue, The Ohio State University, Columbus, Ohio 43210.
23148127	How Bacteria Adhere to Brushy PEG Surfaces: Clinging to Flaws and Compressing the Brush.	Department of Chemical Engineering, Univeristy of Massachusetts Amherst, MA 01003.
23148130	Comparing the Glance Patterns of Older versus Younger Experienced Drivers: Scanning for Hazards whil...	Department of Mechanical & Industrial Engineering, University of Massachusetts Amherst.
23148281	Impact of prandial status on the comparison of capillary glucose meter and venous plasma glucose mea...	Christchurch School of Medicine, University of Otago, 2 Riccarton Ave, Christchurch 8140, New Zealand.
23148324	State-of-the-art technology in modern computer-aided drug design.	*These authors contributed equally to this work.
23148333	Make or break for the Global Fund?	mail@sophiearie.com
23148394	Perthes' disease and femoroacetabular impingement in a child with proximal femoral focal deficiency.	Department of Orthopaedics and Traumatology,  Queen Mary Hospital,  Hong Kong.
23148404	Mapping the dawn of nanoecotoxicological research.	Laboratory of Molecular Genetics, National Institute of Chemical Physics and Biophysics, Tallinn, Estonia. anne.kahru@kbfi.ee
23148450	A prospective investigation of the relationships between self-presentation processes and physical ac...	School of Human Kinetics, University of Ottawa.
23148450	A prospective investigation of the relationships between self-presentation processes and physical ac...	Faculty of Kinesiology & Physical Education, University of Toronto.
23148450	A prospective investigation of the relationships between self-presentation processes and physical ac...	School of Psychology, University of Ottawa.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Health Policy and Department of Surgery and Cancer, Imperial College London.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Department of Clinical Neurosciences, University of Cambridge, Addenbrookes Hospital.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Behavioural Sciences, Warwick Business School, University of Warwick.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Neuroimaging, Institute of Neurology, University College London.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Neuroimaging, Institute of Neurology, University College London.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Neuroimaging, Institute of Neurology, University College London.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Neuroimaging, Institute of Neurology, University College London.
23148449	Prices need no preferences: social trends determine decisions in experimental markets for pain relie...	Centre for Neuroimaging, Institute of Neurology, University College London.
23148456	Study protocol for the Integra Initiative to assess the benefits and costs of integrating sexual and...	Population Council, General Accident Insurance House, Ralph Bunche Road, PO Box 17643-00500, Nairobi, Kenya. cwarren@popcouncil.org
23148464	Forgetting our personal past: socially shared retrieval-induced forgetting of autobiographical memor...	Research Institute for Psychological Sciences.
23148465	Color preferences are not universal.	Department of Psychology, University of Surrey.
23148473	Relative change probability affects the decision process of detecting multiple feature changes.	Department of Psychology.
23148492	Decision tree-based learning to predict patient controlled analgesia consumption and readjustment.	Institute of Biomedical Engineering, National Chiao Tung University, Hsinchu, Taiwan. yhu@cs.nctu.edu.tw
23148555	Prevalence of neurocysticercosis among people with epilepsy in rural areas of Burkina Faso.	Department of Internal Medicine, Sourou Sanou University Hospital Center, Bobo-Dioulasso, Burkina Faso.
23148580	Sites of metastases of anaplastic thyroid carcinoma: autopsy findings in 45 cases from a single inst...	Department of Surgical Oncology, Institute of Oncology, 1000 Ljubljana, Slovenia. nbesic@onko-i.si
23148596	What mechanism of niche segregation allows the coexistence of sympatric sibling rhinolophid bats?	Department of Zoology and Animal Cell Biology, Faculty of Science and Technology, University of the Basque Country UPV/EHU, Sarriena z/g, Leioa E-48940, The Basque Country. joxerra.aihartza@ehu.es.
23148635	Genetic variation in the SLC19A1 gene and methotrexate toxicity in rheumatoid arthritis patients.	Pharmacogenetics Laboratory, Institute of Biochemistry, University of Ljubljana, Vrazov trg 2, 1000 Ljubljana, Slovenia.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Research Division.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Research Division.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Research Division.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Research Division.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Department of Psychiatry and Behavioral Sciences, Duke University.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Department of Psychiatry and Behavioral Sciences, Duke University.
23148648	Formulation of the age-education index: measuring age and education effects in neuropsychological pe...	Department of Psychology, National University of Singapore.
23148651	Further insights on the French WISC-IV factor structure through Bayesian structural equation modelin...	Faculty of Psychology and Educational Sciences, University of Geneva.
23148651	Further insights on the French WISC-IV factor structure through Bayesian structural equation modelin...	Faculty of Psychology and Educational Sciences, University of Geneva.
23148651	Further insights on the French WISC-IV factor structure through Bayesian structural equation modelin...	Institute of Psychology, University of Lausanne.
23148651	Further insights on the French WISC-IV factor structure through Bayesian structural equation modelin...	Faculty of Psychology and Educational Sciences, University of Geneva.
23148651	Further insights on the French WISC-IV factor structure through Bayesian structural equation modelin...	Faculty of Psychology and Educational Sciences, University of Geneva.
23148654	Pandemic influenza A/H1N1 virus infection and TNF, LTA, IL1B, IL6, IL8, and CCL polymorphisms in Mex...	Coordinación de Investigación en Salud, Instituto Mexicano del Seguro Social (IMSS), Torre Academia Nacional de Medicina 4to piso, Av, Cuauhtémoc 330, 06720 México, DF, México.
23148667	The SNP at -592 of human IL-10 gene is associated with serum IL-10 levels and increased risk for hum...	Dirección de Infecciones Crónicas y Cáncer, Centro de Investigación sobre Enfermedades Infecciosas (CISEI), Instituto Nacional de Salud Pública, Av, Universidad 655, Santa María Ahuacatitlán, Cuernavaca, C,P,62100, Cuernavaca, México. vmarina@insp.mx.
23148703	A multidimensional framework for the meanings of the sexual double standard and its application for ...	a Division of HIV/AIDS Prevention, Centers for Disease Control and Prevention.
23148708	Sexual cognition guides viewing strategies to human figures.	a School of Psychology , University of Lincoln.
23148717	Right thyroid hemiagenesis with adenoma and hyperplasia of parathyroid glands -case report.	Surgical Oncology clinic, Institute for Oncology and Radiology of Serbia, Pasterova 14, Belgrade, 11000, Serbia. merimaoruci@hotmail.com.
23148729	Field emission properties of gold nanoparticle-decorated ZnO nanopillars.	Department of Electrophysics, National Chiao Tung University, Hsinchu 300, Taiwan. ymchang7@gmail.com
23148768	Prevalence and nature of criminal offending in a national sample of veterans in VA substance use tre...	Palo Alto University.
23148768	Prevalence and nature of criminal offending in a national sample of veterans in VA substance use tre...	Center for Health Care Evaluation, U.S. Department of Veterans Affairs Palo Alto Health Care System.
23148768	Prevalence and nature of criminal offending in a national sample of veterans in VA substance use tre...	ational Center for PTSD, U.S. Department of Veterans Affairs Palo Alto Health Care System.
23148768	Prevalence and nature of criminal offending in a national sample of veterans in VA substance use tre...	Center for Health Care Evaluation, U.S. Department of Veterans Affairs Palo Alto Health Care System.
23148768	Prevalence and nature of criminal offending in a national sample of veterans in VA substance use tre...	Center for Health Care Evaluation, U.S. Department of Veterans Affairs Palo Alto Health Care System.
23148769	Health service utilization before and after evidence-based treatment for PTSD.	Mental Health Service Line, Ralph H. Johnson Department of Veterans Affairs Medical Center.
23148770	Effects of eliminating psychiatric rehabilitation from the secure levels of a mental-health service ...	Department of Psychology.
23148798	Decisions during negatively-framed messages yield smaller risk-aversion-related brain activation in ...	Department of Psychological and Brain Sciences, Indiana University.
23148798	Decisions during negatively-framed messages yield smaller risk-aversion-related brain activation in ...	Department of Psychology, Wayne State University.
23148798	Decisions during negatively-framed messages yield smaller risk-aversion-related brain activation in ...	Department of Psychological and Brain Sciences, Indiana University.
23148798	Decisions during negatively-framed messages yield smaller risk-aversion-related brain activation in ...	Department of Psychological and Brain Sciences, Indiana University.
23148803	Posttraumatic stress disorder in veterans and military personnel: epidemiology, screening, and case ...	New England Research Institutes, Inc.
23148803	Posttraumatic stress disorder in veterans and military personnel: epidemiology, screening, and case ...	National Center for PTSD, VA Boston Healthcare System.
23148803	Posttraumatic stress disorder in veterans and military personnel: epidemiology, screening, and case ...	National Center for PTSD, VA Boston Healthcare System.
23148803	Posttraumatic stress disorder in veterans and military personnel: epidemiology, screening, and case ...	National Center for PTSD, VA Boston Healthcare System.
23148803	Posttraumatic stress disorder in veterans and military personnel: epidemiology, screening, and case ...	National Center for PTSD, VA Boston Healthcare System.
23148803	Posttraumatic stress disorder in veterans and military personnel: epidemiology, screening, and case ...	New England Research Institutes, Inc.
23148827	Obesity takes center stage.	Internal medicine, pediatrics, University of South Carolina, Columbia, SC.
23148828	Weight-based stigma and physician bias.	Health, behavior and society at the Johns Hopkins Bloomberg School of Public Health in Baltimore, with joint appointments in the human nutrition program of the Bloomberg School's Department of International Health and in medicine at the Johns Hopkins School of Medicine.
23148829	Does pediatric obesity indicate child neglect?	Division of Pediatric Endocrinology and Diabetes at the University of Wisconsin School of Medicine and Public Health in Madison.
23148830	Weight-related denial of insurance for an infant.	Department of Pediatrics at the University of Colorado Denver School of Medicine and the medical director of the clinical nutrition department at the Children's Hospital in Aurora, Colorado.
23148834	Weight bias in health care.	Yale University in New Haven.
23148835	Diagnosing Obesity: Beyond BMI.	Cardiovascular Health Clinic and Cardiometabolic Program at Mayo Clinic in Rochester, Minnesota.
23148836	"Can we talk about your weight for a few minutes, mr. Jones?".	Division of General Internal Medicine at the University of Colorado Denver.
23148837	Obesity-related legislation meets american individualism.	Loyola University Chicago.
23148838	A rationale for policy intervention in reducing obesity.	National Cancer Institute and George Washington University in Washington, DC.
23148839	What's Wrong with the U.S. Approach to Obesity?	Global Nutrition at the University of North Carolina-Chapel Hill.
23148841	Plus seating.	The ethics group at the American Medical Association.
23148840	Media Portrayal of People Who are Obese.	Chief medical expert for Discovery Channel.
23148842	A Call for Collaborative Action against America's Greatest Health Threat.	University of Arizona's Zuckerman College of Public Health.
23148843	Physician BMI and Weight Counseling.	University of Maryland School of Medicine.
23148859	[Bilateral peroneal neuropathy following bariatric surgery].	Université de Liège, Liège, Belgique. christophe.milants@student.ulg.ac.be
23148864	The absence of endemic malaria transmission in Taiwan from 2002 to 2010: the implications of sustain...	Internal Medicine, Chest Division, Liouying Campus, Chi-Mei Medical Center, Tainan, Taiwan.
23148884	Functional role of post-translational modifications of Sp1 in tumorigenesis.	Institute of Basic Medical Sciences, College of Medicine, National Cheng-Kung University, Tainan 701, Taiwan. petehung@mail.ncku.edu.tw
23148933	The role of shifting, updating, and inhibition in prospective memory performance in young and older ...	Faculté de Psychologie et des Sciences de l'Éducation.
23148933	The role of shifting, updating, and inhibition in prospective memory performance in young and older ...	Department of Psychology, University of Cologne.
23148933	The role of shifting, updating, and inhibition in prospective memory performance in young and older ...	Department of Psychology, Technische Universität Dresden.
23148933	The role of shifting, updating, and inhibition in prospective memory performance in young and older ...	Department of Neurology, University Medical Center Freiburg.
23148933	The role of shifting, updating, and inhibition in prospective memory performance in young and older ...	Faculté de Psychologie et des Sciences de l'Éducation.
23148935	Stability and change in intelligence from age 12 to age 52: results from the Luxembourg MAGRIP study...	University of Luxembourg, Center for Educational Measurement and Applied Cognitive Science (EMACS), Campus Walferdange, L-7220 Walferdange, Luxembourg. daniela.schalke@uni.lu
23149003	[Anterior dislocation of the elbow joint without peri-articular fracture in an adult].	Service de chirurgie orthopédique et traumatologique (A) du centre hospitalier universitaire Hassan II de Fès, Fès, Maroc. drchbani@yahoo.fr
23149004	Progressive cribriform and zosteriform hyperpigmentation.	Servicio de Dermatología, Hospital Arquitecto Marcide, Área Sanitaria de Ferrol, SERGAS, Ferrol, A Coruña, España. Electronic address: benigno.monteagudo.sanchez@sergas.es.
23149017	Analyzing titers of antibodies against bacterial and viral antigens, and bacterial toxoids in the in...	Section of Biologics & Advanced Therapeutic Product Analysis, Division of Research and Analysis, Food and Drug Administration, Department of Health, Executive Yuan, Taiwan, ROC.
23149022	Closed eyes condition increases auditory brain responses in schizophrenia.	Department of Electrophysiological Treatment and Investigation Methods, Vilnius Republican Psychiatric Hospital, Vilnius, Lithuania. i.griskova@gmail.com
23149035	Association study of serotonin transporter availability and SLC6A4 gene polymorphisms in patients wi...	Department of Psychiatry, Tri-Service General Hospital, National Defense Medical Center, Taipei, Taiwan, ROC.
23149067	[Clinical Images in Gastrology: high resolution esophageal pressure topography in the diagnosis of h...	Laboratorio de Motilidad Gastrointestinal, Instituto Nacional de Ciencias Médicas y Nutrición "Salvador Zubirán", México D.F., México. monikazs@hotmail.com
23149078	Brachial artery waveforms for automatic blood pressure measurement.	Institute of Biomedical Technologies, Auckland University of Technology, Auckland, New Zealand. ahmed.al-jumaily@aut.ac.nz
23149168	βCCT, an antagonist selective for α(1)GABA(A) receptors, reverses diazepam withdrawal-induced anxiet...	Department of Pharmacology, Faculty of Pharmacy, University of Belgrade, Vojvode Stepe 450, 11221 Belgrade, Serbia.
23149188	Concentration of polychlorinated biphenyls and organochlorine pesticides in mullet (Mugil cephalus) ...	Laboratory of Environmental Analytical Chemistry (05/UR/12-03), University of Carthage, Faculty of Sciences, Bizerte, 7021 Zarzouna, Tunisia.
23149193	Wait times for Mohs micrographic surgery in Ottawa, Ontario.	Division of Dermatology, University of Ottawa, Ottawa, ON.
23149197	Epidemiology of sebaceous carcinoma in Alberta, Canada, from 1988 to 2007.	Division of Dermatology and Cutaneous Sciences, Department of Medicine, University of Alberta, Edmonton, AB.
23149196	Etanercept improves quality of life outcomes and treatment satisfaction in patients with moderate to...	Dermatrials Research and Department of Medicine, McMaster University, Hamilton, ON L8N 1V6. ron.vender@me.com
23149203	Erythema annulare centrifugum in a patient with crohn disease.	Division of Dermatology and Cutaneous Sciences, University of Alberta, Edmonton, AB T6G 2G3.
23149207	Hypertrophic and ulcerated discoid lupus erythematosus.	Division of Dermatology, Department of Medicine, Dalhousie University, Halifax, NS B3H 1V7. peter.green@cdha.nshealth.ca
23149205	Psoriasis vulgaris caused by ceramic inserts used in total hip replacement.	Department of Orthopedic Surgery, Kurume University Medical Center.
23149209	Intralesional cidofovir in the treatment of cutaneous warts in a renal transplant patient.	Divisions of Dermatology and Nephrology, Department of Medicine, Centre Hospitalier Universitaire de Québec, Laval University, Quebec, QC. marie-michele. blouin.2@ulaval.ca
23149258	Dexamethasone eye drops containing γ-cyclodextrin-based nanogels.	Faculty of Pharmaceutical Sciences, University of Iceland, Hofsvallagata 53, IS-107 Reykjavik, Iceland.
23149260	Cyprus health system review.	Health Policy and Management, Faculty of Economics and Management, Open University of Cyprus.
23149269	Control of viral hepatitis infection in Africa: are we dreaming?	Immunization and Vaccine Development Programme, World Health Organization Regional Office for Africa, Brazzaville, Congo.
23149291	Differential diagnosis of a cystic abdominal mass: malignant transformation of the urachal cyst.	Unidad de Coloproctología, Unidad de Gestión Clínica Cirugía General, Digestivo y Trasplantes, Hospital Regional Universitario Carlos Haya, Málaga, España. Electronic address: manuel.ruiz.lop@gmail.com.
23149291	Differential diagnosis of a cystic abdominal mass: malignant transformation of the urachal cyst.	Unidad de Coloproctología, Unidad de Gestión Clínica Cirugía General, Digestivo y Trasplantes, Hospital Regional Universitario Carlos Haya, Málaga, España.
23149291	Differential diagnosis of a cystic abdominal mass: malignant transformation of the urachal cyst.	Unidad de Coloproctología, Unidad de Gestión Clínica Cirugía General, Digestivo y Trasplantes, Hospital Regional Universitario Carlos Haya, Málaga, España.
23149291	Differential diagnosis of a cystic abdominal mass: malignant transformation of the urachal cyst.	Unidad de Coloproctología, Unidad de Gestión Clínica Cirugía General, Digestivo y Trasplantes, Hospital Regional Universitario Carlos Haya, Málaga, España.
23149291	Differential diagnosis of a cystic abdominal mass: malignant transformation of the urachal cyst.	Unidad de Coloproctología, Unidad de Gestión Clínica Cirugía General, Digestivo y Trasplantes, Hospital Regional Universitario Carlos Haya, Málaga, España.
23149306	Participatory diagnosis and prioritization of constraints to cattle production in some smallholder f...	Chinhoyi University of Technology, P. Bag 7724, Chinhoyi, Zimbabwe. paulkobo@gmail.com
23149311	Effectiveness of intra-articular hyaluronic acid for ankle osteoarthritis treatment: a systematic re...	Department of Physical Medicine and Rehabilitation, National Taiwan University Hospital, BeiHu Branch and National Taiwan University College of Medicine, Taipei, Taiwan.
23149333	Patterns of family doctor decision making in practice context. What are the implications for medical...	COMPASS Research Centre and Department of Sociology, University of Auckland, Private Bag 92019, Auckland 1142, New Zealand. r.layyee@auckland.ac.nz
23149375	Molecular beam mass spectrometry with tunable vacuum ultraviolet (VUV) synchrotron radiation.	Chemical Sciences Division, Lawrence Berkeley National Laboratory.
23149398	A treefrog with reproductive mode plasticity reveals a changing balance of selection for nonaquatic ...	Smithsonian Tropical Research Institute, Balboa, Panama. touchonjc@si.edu
23149416	Angiotensin-receptor blockers and risk of Alzheimer's disease in hypertension population--a nationwi...	Division of Cardiology, Department of Medicine, Taipei Veterans General Hospital, Taipei, Taiwan.
23149443	The pharmacokinetic profile of intravenous paracetamol in adult patients undergoing major abdominal ...	School of Pharmacy, University of Otago, Dunedin, New Zealand. katie.owens@otago.ac.nz
23149473	Chemical communication in the honey bee scarab pest Oplostomus haroldi: role of (Z)-9-pentacosene.	International Centre of Insect Physiology and Ecology (icipe), P.O. Box 30772-00100, Nairobi, Kenya.
23149491	[Prevalence of mental disorders in multimodal therapy of chronic back pain].	Orthopädische Universitätsklinik Ulm am RKU, Oberer Eselsberg 45, 89081, Ulm, Deutschland, j.artner@gmail.com
23149504	Implant primary stability determined by resonance frequency analysis:  correlation with insertion to...	Department of Oral Surgery, Faculty of Dental Medicine, Saint Joseph University, Beirut, Lebanon. christian.makary@usj.edu.lb
23149525	Patients' expectations of screening and preventive treatments.	Department of Public Health and General Practice, University of Otago, Christchurch, New Zealand. ben.hudson@otago.ac.nz
23149550	Microarrays of gold nanoparticle clusters fabricated by Stop&Go convective self-assembly for SERS-ba...	Babes-Bolyai University, Faculty of Physics, Institute for Interdisciplinary Research in Bio-Nano-Sciences, 1 M. Kogalniceanu, 400084 Cluj-Napoca, Romania.
23149570	Iterative optimization of DNA duplexes for crystallization of SeqA-DNA complexes.	Department of Biochemistry and Biomedical Sciences, McMaster University.
23149586	West Nile virus ecology in a tropical ecosystem in Guatemala.	Center for Health Studies, Universidad del Valle de Guatemala, Guatemala. me_morales@hotmail.com
23149602	Experimental investigations of trimer ion contributions in the low resolution mass spectrometry of h...	National Research and Development Institute for Cryogenics and Isotopic Technologies-ICSI Ramnicu Valcea, RO, Romania. nicoale.bidica@icsi.ro
23149619	[To Prof. Dr. Johann H. Karstens on the occasion of his retirement].	Klinik für Strahlentherapie und spezielle Onkologie, Medizinische Hochschule Hannover, Carl-Neuberg-Str. 1, 30625, Hannover, Deutschland. Bremer.Michael@mh-hannover.de
23149620	The opposite roles of glucocorticoid and α1-adrenergic receptors in stress triggered apoptosis of ra...	Reproductive Endocrinology and Signaling Group, Department of Biology and Ecology, Faculty of Sciences, University of Novi Sad, Novi Sad, Serbia.
23149645	[Gorham-Stout syndrome--a pediatric clinical case].	Hospital Pediátrico Professor Carmona da Mota. paulabes@yahoo.com
23149762	Specificities of boron disubstituted sumanenes.	Department of Physics, Faculty of Sciences, University of Novi Sad, Trg Dositeja Obradovića 4, 21000 Novi Sad, Vojvodina, Serbia. stevan.armakovic@df.uns.ac.rs
23149768	[Branch-duct IPMN: underestimated risk of malignancy].	Klinik für Allgemein-, Viszeral- und Transplantationschirurgie, Universität Heidelberg, Im Neuenheimer Feld 110, 69120, Heidelberg, Deutschland. Oliver.Strobel@med.uni-heidelberg.de
23149767	[Open transosseous reconstruction of the rotator cuff: clinical outcome, influencing factors and com...	Department Orthopädie und Traumatologie, Klinikum der Albert-Ludwigs Universität Freiburg, Hugstetter Str. 55, 79106, Freiburg, Deutschland. dirk.maier@uniklinik-freiburg.de
23149766	[Anorectal diagnostics for proctological diseases].	Klinik für Allgemein- und Viszeralchirurgie, Krankenhaus Dresden-Friedrichstadt, Friedrichstr. 41, 01067, Dresden, Deutschland. jackisch-th@khdf.de
23149781	A comprehensive dosimetric evaluation of using RapidArc volumetric-modulated arc therapy for the tre...	Department of Oncology, Princess Margaret Hospital, Hong Kong SAR . kanwkm@ha.org.hk
23149786	A light field-based method to adjust rounded leaf end MLC position for split shape dose calculation ...	Department of Information Engineering, I-Shou University, Taiwan.
23149792	Accuracy and sensitivity of four-dimensional dose calculation to systematic motion variability in st...	Department of Clinical Oncology, Tuen Mun Hospital, Hong Kong (S.A.R). ckh456@hr.org.hk
23149803	Mortality, asthma, smoking and acute chest syndrome in young adults with sickle cell disease.	Sickle Cell Unit, Tropical Medicine Research Institute, University of the West Indies, Mona, Kingston 7, Jamaica, West Indies. jennifer.knightmadden@uwimona.edu.jm
23149882	[Pediatric calcaneal fracture after supination trauma: conservative therapy with an orthosis].	Klinik für Unfallchirurgie und Orthopädie 1, Westpfalz-Klinikum GmbH, Hellmut-Hartert-Straße 1, 67655, Kaiserslautern, Deutschland, thomas@ruffing.eu.
23149885	Photodynamic therapy in dermatology: past, present, and future.	Tokuda Hospital-Sofia, Department of Dermatology and Venereology, Bulgaria. darlenski@abv.bg
23149907	High throughput sequential ELISA for validation of biomarkers of acute graft-versus-host disease.	Pediatric Blood and Marrow Transplant Program, University of Michigan.
23149922	MIG-7 controls COX-2/PGE2-mediated lung cancer metastasis.	Genomics Research Center, Academia Sinica, Taipei, Taiwan, ROC.
